,index,ratio
396,7783,1.1628357056290701
397,4426,1.163086890531082
398,1215,1.1632002002106911
399,1710,1.1639928101092032
400,5104,1.164021369198062
401,4777,1.164838691803097
402,9794,1.1649300497859167
403,1056,1.1651403237707922
404,9287,1.165238082625743
405,3492,1.1654817395205976
406,9530,1.1659221539728533
407,2014,1.1660833560264063
408,3729,1.1660835176725732
409,6249,1.1662106858992656
410,7154,1.1665941061580496
411,3818,1.1666019063872028
412,7594,1.1666528325618113
413,6287,1.1675763419015168
414,3826,1.1681583024729396
415,2999,1.1685028263079469
416,2812,1.1685416308256185
417,5187,1.1687349373765596
418,6047,1.1692023125865525
419,3653,1.16921737495843
420,1907,1.1703164590618187
421,4548,1.1703941211814932
422,9476,1.1707469269644226
423,9932,1.1720653749722842
424,6120,1.172306546980212
425,9633,1.1723436186632261
426,1208,1.1723708069924048
427,8108,1.1732572202025575
428,7520,1.173700410102137
429,4345,1.1753043462974568
430,6620,1.176410870825967
431,1943,1.1764111439147718
432,1886,1.1766398021622788
433,9222,1.1772354883694685
434,3578,1.1774689952075248
435,5123,1.1775084264105717
436,9450,1.1778144343557662
437,81,1.1778250824404772
438,2668,1.1780539687793985
439,7187,1.178085141808299
440,7513,1.1781351267174556
441,443,1.1781577136266137
442,9659,1.178240026338799
443,8062,1.1790034553377657
444,9939,1.1793155059115097
445,7054,1.179520463215417
446,9777,1.1798571422108493
447,9189,1.1805169752792954
448,1309,1.1808775395935212
449,113,1.1809744710629113
450,6706,1.181128655311743
451,8299,1.1815253239910775
452,6689,1.1821753221895608
453,1942,1.1822965773144818
454,8431,1.1826478475369164
455,3742,1.1851717166707125
456,8035,1.185186247705341
457,5375,1.1863431203814625
458,6870,1.1868037124611945
459,7201,1.1874474208258208
460,5130,1.187980110556982
461,7349,1.189890181760222
462,1823,1.1903645530498062
463,2378,1.1903737089599917
464,2823,1.1914345322932995
465,5709,1.193271565490476
466,6710,1.1955285489092853
467,2296,1.1955650721554842
468,9624,1.1963796857769369
469,4688,1.196662358802296
470,8268,1.1973930026016262
471,7370,1.1973965169796204
472,4015,1.1998304101518862
473,8878,1.199983956166486
474,6854,1.2001115027884894
475,3538,1.2002521146531056
476,4108,1.2009508544785796
477,3123,1.2012125324447984
478,6379,1.2012623438501355
479,2914,1.2017631169791703
480,6700,1.2017759669586265
481,3542,1.202123638066615
482,7436,1.20234053085798
483,8028,1.2024329046347313
484,4989,1.2025059878359403
485,6866,1.2029011770998879
486,968,1.202943605282015
487,5162,1.2042684572383728
488,7287,1.2048537013226568
489,5645,1.2049677862685524
490,4206,1.2052430580264981
491,1788,1.205662919693505
492,4414,1.2058374862809516
493,8373,1.2060232236669628
494,8897,1.2061392840888143
495,8974,1.2061730628988698
496,9675,1.2065390722874687
497,2047,1.2069764904215234
498,3262,1.2070233733869242
499,8893,1.2079350750254998
500,798,1.208085742876459
501,1617,1.2086484028633988
502,4113,1.208840888396425
503,6698,1.2088806607076519
504,5102,1.2094636114936612
505,9875,1.20949832592084
506,7454,1.2095140937909132
507,8051,1.210569652302311
508,7530,1.210782431975755
509,7550,1.2110410933892706
